CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,InternetService,Contract,MonthlyCharges,TotalCharges,Churn
QLxa-86370,Female,0,Yes,No,67,Yes,No,Month-to-month,33.15,2227.77,No
ntCH-03578,Female,1,No,No,72,Yes,DSL,Month-to-month,67.6,4882.39,No
RZNa-78580,Female,1,Yes,Yes,13,No,DSL,Two year,43.96,605.49,No
nZyp-87530,Male,1,No,No,37,Yes,Fiber optic,Two year,95.53,3517.08,Yes
eaFi-90609,Male,1,No,No,6,No,No,Month-to-month,20.79,136.26,No
lvne-83555,Male,0,Yes,No,21,No,No,Two year,22.63,505.32,No
ULje-86460,Male,1,No,Yes,2,No,DSL,Two year,41.3,86.39,No
izlO-40185,Female,0,Yes,Yes,37,Yes,DSL,Two year,60.82,2212.19,Yes
hKGp-89725,Female,0,Yes,No,16,No,Fiber optic,Two year,113.99,1774.02,No
PxfZ-02010,Female,0,No,Yes,31,Yes,DSL,Month-to-month,51.47,1550.97,Yes
mnIK-71380,Female,0,Yes,Yes,26,No,Fiber optic,Two year,73.56,1961.71,No
hFvl-61756,Male,0,No,No,14,No,No,Two year,20.19,282.82,Yes
dkWb-38229,Female,0,No,No,31,Yes,DSL,Month-to-month,59.8,1816.47,Yes
FDVT-26801,Female,0,Yes,Yes,38,No,No,One year,24.12,883.99,No
CmlT-67773,Male,1,Yes,No,30,No,DSL,One year,63.81,1876.15,No
BNNF-78761,Female,1,Yes,No,11,Yes,DSL,One year,53.87,618.28,No
CXED-29769,Female,1,No,Yes,56,No,Fiber optic,Two year,105.23,5923.76,No
shza-64370,Male,0,No,No,53,Yes,Fiber optic,Month-to-month,96.2,5054.6,Yes
LrAN-03688,Male,0,Yes,No,60,Yes,Fiber optic,Two year,102.28,6167.14,No
DUVK-59965,Male,0,Yes,No,63,Yes,DSL,Month-to-month,58.73,3682.52,No
xJTJ-87949,Female,0,No,No,67,No,No,One year,24.91,1667.46,No
HPnm-54258,Male,0,No,Yes,6,No,No,Two year,19.07,153.46,No
Vxde-52344,Male,0,Yes,No,16,No,Fiber optic,Two year,98.55,1536.6,No
jjpD-22540,Female,0,No,No,51,No,No,Two year,22.54,1118.57,No
cAiu-02920,Female,0,Yes,Yes,46,Yes,DSL,Two year,59.42,2713.68,No
TLzT-09473,Female,0,No,No,20,Yes,No,Two year,26.27,569.57,No
Npso-19860,Male,0,Yes,No,32,No,DSL,Two year,48.44,1558.43,Yes
shjC-09982,Male,0,Yes,No,60,No,DSL,Month-to-month,47.24,2813.12,Yes
fdTJ-85610,Male,1,No,No,49,Yes,No,Two year,25.96,1316.08,No
ODPm-98643,Male,0,Yes,Yes,27,No,DSL,One year,54.27,1445.14,No
VWbF-25887,Male,0,Yes,Yes,45,Yes,Fiber optic,Month-to-month,112.55,5074.03,No
PIDY-44916,Female,1,No,No,55,Yes,Fiber optic,One year,85.21,4731.88,No
GRKN-97677,Male,1,No,Yes,29,Yes,DSL,Month-to-month,53.25,1581.98,No
tTrC-54333,Male,0,Yes,No,27,No,DSL,Two year,63.26,1661.39,No
krwv-38283,Female,1,Yes,Yes,58,Yes,Fiber optic,One year,99.0,5744.21,Yes
ZwyO-76581,Female,0,No,Yes,3,No,No,Two year,21.34,110.86,No
FjsY-00011,Female,1,Yes,No,72,Yes,No,Month-to-month,33.87,2480.12,No
ffRW-03130,Female,0,No,Yes,26,No,No,Month-to-month,22.22,538.6,No
sFff-27118,Female,1,No,No,67,Yes,DSL,One year,42.72,2910.29,No
